,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2020-01-22,-0.057654799079941955,-21.336909140870397,25.430653336398937,-0.05765479907994195,-0.057654799079941955,0.2823467396057915,0.2823467396057915,0.2823467396057915,0.2823467396057915,0.2823467396057915,0.2823467396057915,0.0,0.0,0.0,0.22469194052584954
1,2020-01-23,-0.05906292608758375,-24.23210070320667,23.982750135535774,-0.05906292608758375,-0.05906292608758375,0.11555128292624504,0.11555128292624504,0.11555128292624504,0.11555128292624504,0.11555128292624504,0.11555128292624504,0.0,0.0,0.0,0.0564883568386613
2,2020-01-24,-0.06047105309522554,-21.102264432102434,25.349523572103088,-0.06047105309522553,-0.06047105309522554,0.47854375915118647,0.47854375915118647,0.47854375915118647,0.47854375915118647,0.47854375915118647,0.47854375915118647,0.0,0.0,0.0,0.4180727060559609
3,2020-01-25,-0.061879180102867345,-21.682735571507514,25.956581697965838,-0.061879180102867345,-0.061879180102867345,-0.23726197262611284,-0.23726197262611284,-0.23726197262611284,-0.23726197262611284,-0.23726197262611284,-0.23726197262611284,0.0,0.0,0.0,-0.2991411527289802
4,2020-01-26,-0.06328733230445395,-20.952140292009595,21.526253871492592,-0.06328733230445394,-0.06328733230445395,-1.1527754770177576,-1.1527754770177576,-1.1527754770177576,-1.1527754770177576,-1.1527754770177576,-1.1527754770177576,0.0,0.0,0.0,-1.2160628093222117
5,2020-01-27,-0.06469548450604055,-22.87436800053781,25.49362472636056,-0.06469548450604055,-0.06469548450604055,0.23935348952661836,0.23935348952661836,0.23935348952661836,0.23935348952661836,0.23935348952661836,0.23935348952661836,0.0,0.0,0.0,0.17465800502057782
6,2020-01-28,-0.06610363670762716,-22.23306711132338,25.68026245170757,-0.06610363670762714,-0.06610363670762716,0.2742421784398172,0.2742421784398172,0.2742421784398172,0.2742421784398172,0.2742421784398172,0.2742421784398172,0.0,0.0,0.0,0.20813854173219004
7,2020-01-29,-0.06751177689910814,-20.655712425642868,23.73631018965874,-0.06751177689910814,-0.06751177689910814,0.28234673960389445,0.28234673960389445,0.28234673960389445,0.28234673960389445,0.28234673960389445,0.28234673960389445,0.0,0.0,0.0,0.2148349627047863
8,2020-01-30,-0.06891991709058912,-22.357343432898247,22.586093910188872,-0.06891991709058912,-0.06891991709058912,0.11555128292523226,0.11555128292523226,0.11555128292523226,0.11555128292523226,0.11555128292523226,0.11555128292523226,0.0,0.0,0.0,0.04663136583464314
9,2020-01-31,-0.0703280572820701,-25.627937741344684,24.162875577240875,-0.07032805728207009,-0.0703280572820701,0.4785437591497177,0.4785437591497177,0.4785437591497177,0.4785437591497177,0.4785437591497177,0.4785437591497177,0.0,0.0,0.0,0.4082157018676476
10,2020-02-01,-0.07173619747355107,-26.542579868755162,22.432009902309105,-0.07173619747355107,-0.07173619747355107,-0.23726197262825424,-0.23726197262825424,-0.23726197262825424,-0.23726197262825424,-0.23726197262825424,-0.23726197262825424,0.0,0.0,0.0,-0.3089981701018053
11,2020-02-02,-0.07314434823035632,-21.81807054104433,19.736858283405198,-0.07314434823035632,-0.07314434823035632,-1.152775477017802,-1.152775477017802,-1.152775477017802,-1.152775477017802,-1.152775477017802,-1.152775477017802,0.0,0.0,0.0,-1.2259198252481585
12,2020-02-03,-0.07455249898716154,-26.56059416089441,21.992977075649723,-0.07455249898716154,-0.07455249898716154,0.23935348952297278,0.23935348952297278,0.23935348952297278,0.23935348952297278,0.23935348952297278,0.23935348952297278,0.0,0.0,0.0,0.16480099053581124
13,2020-02-04,-0.07596064974396677,-24.649961507164978,24.58856265899295,-0.07596064974396677,-0.07596064974396677,0.2742421784398427,0.2742421784398427,0.2742421784398427,0.2742421784398427,0.2742421784398427,0.2742421784398427,0.0,0.0,0.0,0.19828152869587595
14,2020-02-05,-0.07736881271486216,-24.722519729210692,21.527819454340857,-0.07736881271486215,-0.07736881271486216,0.28234673960464457,0.28234673960464457,0.28234673960464457,0.28234673960464457,0.28234673960464457,0.28234673960464457,0.0,0.0,0.0,0.2049779268897824
15,2020-02-06,-0.07877697568575755,-23.052026987793646,24.255813533017843,-0.07877697568575753,-0.07877697568575755,0.1155512829257109,0.1155512829257109,0.1155512829257109,0.1155512829257109,0.1155512829257109,0.1155512829257109,0.0,0.0,0.0,0.036774307239953355
16,2020-02-07,-0.08018513865665293,-24.718827360202653,25.376453155763016,-0.08018513865665292,-0.08018513865665293,0.47854375915101527,0.47854375915101527,0.47854375915101527,0.47854375915101527,0.47854375915101527,0.47854375915101527,0.0,0.0,0.0,0.3983586204943623
17,2020-02-08,-0.08159340505073466,-26.367610731520998,26.200740320546473,-0.08159340505073465,-0.08159340505073466,-0.23726197262701748,-0.23726197262701748,-0.23726197262701748,-0.23726197262701748,-0.23726197262701748,-0.23726197262701748,0.0,0.0,0.0,-0.3188553776777521
18,2020-02-09,-0.0830016714448164,-22.619487128320216,22.3079086623886,-0.0830016714448164,-0.0830016714448164,-1.1527754770178464,-1.1527754770178464,-1.1527754770178464,-1.1527754770178464,-1.1527754770178464,-1.1527754770178464,0.0,0.0,0.0,-1.2357771484626627
19,2020-02-10,-0.08440993783889815,-21.932075952472523,25.77308943880736,-0.08440993783889814,-0.08440993783889815,0.23935348952357,0.23935348952357,0.23935348952357,0.23935348952357,0.23935348952357,0.23935348952357,0.0,0.0,0.0,0.15494355168467183
